answered,condition,correct,critical_word,elapsed_experiment_time,event,local_time,marker_code,psychopy_flip_time,reaction_time,response_key,sentence,session_id,subject_id,trial_id
,absurda,,satélite,,CRITICAL_ABSURD,62.85133270000006,33027,71.82900229999905,,,El perro persigue al satélite,20260515_131040,S001,19
True,absurda,True,,,RESPONSE_NONSENSE,63.0563549999988,33029,,0.18903120000140916,j,,20260515_131040,S001,19
,normal,,,,TRIAL_START,63.147807100000136,33025,,,,El robot cargó la batería,20260515_131040,S001,20
,normal,,batería,,CRITICAL_NORMAL,65.31713849999869,33026,74.29497029999948,,,El robot cargó la batería,20260515_131040,S001,20
True,normal,True,,,RESPONSE_SENSE,65.62061799999901,33028,,0.2875040999988414,f,,20260515_131040,S001,20
,normal,,,,TRIAL_START,65.71498489999976,33025,,,,Tomé café en una taza,20260515_131040,S001,21
,normal,,taza,,CRITICAL_NORMAL,67.89998559999913,33026,76.87762359999942,,,Tomé café en una taza,20260515_131040,S001,21
True,normal,True,,,RESPONSE_SENSE,68.23684799999864,33028,,0.31801629999972647,f,,20260515_131040,S001,21
,absurda,,,,TRIAL_START,68.33104679999997,33025,,,,El cocinero corta la sombra,20260515_131040,S001,22
,absurda,,sombra,,CRITICAL_ABSURD,70.50009909999972,33027,79.47817810000015,,,El cocinero corta la sombra,20260515_131040,S001,22
True,absurda,True,,,RESPONSE_NONSENSE,70.85033870000007,33029,,0.33270210000046063,j,,20260515_131040,S001,22
,absurda,,,,TRIAL_START,70.94824919999883,33025,,,,El piloto maneja una naranja,20260515_131040,S001,23
,absurda,,naranja,,CRITICAL_ABSURD,73.11685029999899,33027,82.09450020000077,,,El piloto maneja una naranja,20260515_131040,S001,23
True,absurda,True,,,RESPONSE_NONSENSE,73.43745149999995,33029,,0.30459049999990384,j,,20260515_131040,S001,23
,normal,,,,TRIAL_START,73.53121209999881,33025,,,,El arquero atajó la pelota,20260515_131040,S001,24
,normal,,pelota,,CRITICAL_NORMAL,75.69994239999869,33026,84.67788850000034,,,El arquero atajó la pelota,20260515_131040,S001,24
True,normal,True,,,RESPONSE_SENSE,75.98953040000015,33028,,0.27243189999899187,f,,20260515_131040,S001,24
,,,,63.65733530000034,EXP_END,76.08105009999963,33031,,,,,20260515_131040,S001,
